8th Cross, V V Mohalla, Mysore  [Sept 13, 1997]  
aruLALan tiramellAm solvadenrAl  [shankarAbharaNa] L
aruLE ulagam  [kharaharapriyA] L
aruLpurivAi  [Hamsadhvāni,hamsadhvani,hamsadwani] L
aruLvAy  [kharaharapriyA] L
Arumarundhoru  [Kāṁbhōji]  
ArumilEn nAn  [suraTi] L
ArumO Aval  [mAnD] L
ArumukanukkiNaiyAga  [muktidAyini] L
arumukhA  [shuddhasAvEri] L
Arumukha nAthan padam  [latAngi] L
Arumukha nAthan pOL AdarippOrum  [sAmA] L
Arumukha nAthan pOl aDiyArai  [cenjuruTi] L
Arumukhan pEraruLai  [suraTi] L
Arumukhan pOl  [asAvERi] L
Arumukhan sIraDiyai  [shuddhasAvEri] L
ArumukhanukkiNai yArum  [madhyamAvati] L
Arumukhat-tArakanE  [kharaharapriyA,sAma] L
arunAchala nAdham smarAmi  [sAarangA,sArangA] L
aruNagiri pADum  [AbhOgi]  
arunduvOm kavi  [hamsAnandi] L
aruNOdayam varumO  [Arabhi] L
aruNOdayamAnadE  [bhUpALa] L
aruT-tivilai  [husEni] L
aruvanAi irundu  [kharaharapriyA] L
aruvenalAmE  [unknown] L
aruviyaippOlum  [asAvEri] L
ArvaghuttArE  [suraTi] L
ArvamAi kUviDuvAi  [simhEndramadhyam] L
AryAdEvI  [sahAnA] L
AryAm abhayAmbAm bhajarE  [bhairavi] L
asaindADum mayil onru kANum  [simhEndramadhyam] L
Ashai Aghum  [shuddhasAvEri] L
Ashai alaigaL  [bEgaDa] L
Ashai koNDEnE  [cenjuruTi,gOpikatilakam] L
Ashai mukham marandu  [jOnpuri] L
Ashai nirai  [husEni] L
